source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: US House votes to boost stimulus package payments,"The chamber backs President Trump's call for $2,000 payments but the move could stall in the Senate.",http://www.bbc.co.uk/news/world-us-canada-55471647,https://ichef.bbci.co.uk/news/1024/branded_news/DE88/production/_116286965_gettyimages-1230097453.jpg,2020-12-29T02:37:22.8665351Z,"image copyrightGetty Images
image captionThe pandemic has devastated the US economy and caused a surge in unemployment
The US House of Representatives has voted in favour of increasing the aid sent… [+3075 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,When online meetings didn’t go as planned,"From animal interruptions to catching fire, here's a look back at the year we spent (badly) online.",http://www.bbc.co.uk/news/world-55375825,https://ichef.bbci.co.uk/images/ic/400xn/p092mw4b.jpg,2020-12-29T00:22:24.3846859Z,"2020 was the year everything went online. From virtual meetings and teaching online to socialising on a screen, a lot of us have spent a lot of time logged in.
But with interruptions from pets and c… [+197 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Coronavirus: Spain to keep registry of those who refuse Covid vaccine,"Vaccination will not be mandatory, officials say, and the register will not be made public.",http://www.bbc.co.uk/news/world-europe-55471282,https://ichef.bbci.co.uk/news/1024/branded_news/E144/production/_116286675_064969673.jpg,2020-12-29T00:22:20.541892Z,"image captionThe elderly are among those receiving the first wave of vaccinations in Spain
Spain is to set up a registry of people who refuse to be vaccinated against coronavirus and share it with o… [+2052 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Nashville explosion: Motives still unclear in Nashville 'suicide bomb',Investigators are trying to work out the motive behind the Christmas Day blast that injured three.,http://www.bbc.co.uk/news/world-us-canada-55468759,https://ichef.bbci.co.uk/news/1024/branded_news/11A22/production/_116262227_35c1f445-9ede-4644-94ff-6376ad96a1df.jpg,2020-12-28T22:52:22.2325734Z,"media captionWatch the aftermath of the explosion in Nashville
US investigators are trying to find out why a 63-year-old computer consultant detonated a bomb that killed himself and injured three ot… [+2705 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Joe Biden: 'Enormous damage' to US security agencies by Trump,The president-elect says his team is not getting the information it needs on national security.,http://www.bbc.co.uk/news/world-us-canada-55470625,https://ichef.bbci.co.uk/news/1024/branded_news/5F94/production/_116286442_064981892-1.jpg,2020-12-28T22:22:22.5033425Z,"Agencies critical to US security have suffered ""enormous damage"" at the hands of the Trump administration, US President-elect Joe Biden has said.
Mr Biden said his team was not getting the informati… [+1946 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: South Africa's Ramaphosa announces new restrictions as cases soar,"The measures include a ban on indoor and outdoor gatherings, and a night curfew, until 15 January.",http://www.bbc.co.uk/news/world-africa-55468104,https://ichef.bbci.co.uk/news/1024/branded_news/D4EC/production/_116280545_mediaitem116280544.jpg,2020-12-28T19:22:21.2057413Z,"image captionMr Ramaphosa said the country had let its guard down
President Cyril Ramaphosa has announced new tougher coronavirus restrictions, a day after South Africa recorded more than one millio… [+2585 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Hilaria Baldwin denies faking her Spanish heritage,The wife of Alec Baldwin has been accused of misleading the public over her Spanish heritage.,http://www.bbc.co.uk/news/world-us-canada-55468754,https://ichef.bbci.co.uk/news/1024/branded_news/14922/production/_116285248_mediaitem116285244.jpg,2020-12-28T17:22:21.0407189Z,"image copyrightGetty Images
image captionThe TV host has been accused of faking a Spanish accent
Hilaria Baldwin, TV host and wife of actor Alec Baldwin, has responded to accusations she misled the… [+1797 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid-19: Concern at 'unprecedented' infection level in England,"The UK reports a further 41,385 cases as hospitals struggle to cope with rising patient numbers.",http://www.bbc.co.uk/news/uk-55462701,https://ichef.bbci.co.uk/news/1024/branded_news/7889/production/_116275803_mediaitem116275477.jpg,2020-12-28T17:07:19.8638005Z,"England's ""very high"" Covid infection level is a ""growing concern"" as the NHS struggles to cope with rising patient numbers, a health official has said.
On Monday, a further 41,385 Covid cases and 3… [+5504 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Loujain al-Hathloul: Saudi woman activist jailed for five years,"Loujain al-Hathloul, 31, was prominent in the campaign to win the right for Saudi women to drive.",http://www.bbc.co.uk/news/world-middle-east-55467414,https://ichef.bbci.co.uk/news/1024/branded_news/113E0/production/_115242607_mediaitem115237706.jpg,2020-12-28T13:07:20.5474276Z,"image captionLoujain al-Hathloul was detained in 2018
A prominent Saudi female activist, who campaigned for women's right to drive, has been sentenced to more than five years in prison. 
Loujain al… [+2032 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Brexit: Britons warned to prepare for 'some disruption',"Ministers warn of ""practical and procedural changes"" when the Brexit transition period ends this week.",http://www.bbc.co.uk/news/uk-55463506,https://ichef.bbci.co.uk/news/1024/branded_news/EDB9/production/_116275806_mediaitem116275805.jpg,2020-12-28T07:52:23.5254222Z,"Businesses and travellers should get ready for ""substantial"" change from New Year's Eve, when the UK leaves the EU, the government has said.
Cabinet Office Minister Michael Gove said there would be … [+3900 chars]"
"{'id': 'engadget', 'name': 'Engadget'}",Mariella Moon,FTC: Robocallers are now pretending to be Apple and Amazon,"There’s a new robocall scheme that uses Apple’s and Amazon’s name to rip people off, and the Federal Trade Commission has issued a warning to raise awareness about it. The FTC has posted two versions of the scam on its website, so people would know what to ex…",https://www.engadget.com/ftc-robocalls-apple-amazon-warning-045846581.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-images%2F2019-10%2F108fb9f0-eb70-11e9-bfff-74a6c8c93e0e&client=amp-blogside-v2&signature=d69287c7c94af4ecde00d728e7891bcdac4ccc34,2020-12-04T04:58:46Z,"There’s a new robocall scheme that uses Apple’s and Amazon’s name to rip people off, and the Federal Trade Commission has issued a warning to raise awareness about it. The FTC has posted two versions… [+885 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Andrew Liszewski,Apple Patent Suggests It's Borrowing Some Vantablack Tricks for Black MacBooks,"Before it started making all of its laptops out of aluminum, Apple offered MacBooks with a matte black finish that, so far, has been challenging to reproduce on its all metal computers. But a new patent suggests Apple has come up with a way to give its latest…",https://gizmodo.com/apple-patent-suggests-its-borrowing-some-vantablack-tri-1845807808,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/bvhnj1udwffaeojdv3rf.jpg",2020-12-04T15:53:00Z,"Before it started making all of its laptops out of aluminum, Apple offered MacBooks with a matte black finish that, so far, has been challenging to reproduce on its all metal computers. But a new pat… [+2992 chars]"
"{'id': None, 'name': 'MacRumors'}",Juli Clover,Apple Picks Up World Surf League Docuseries for Apple TV+,"Apple has picked up a new six-part documentary series about the World Surf League, which will provide a behind-the-scenes look at the ""aspirations, failures and accomplishments"" of the world's best surfers as they strive for the World Surf League Title.





…",https://www.macrumors.com/2020/12/04/apple-tv-plus-world-surf-league/,https://images.macrumors.com/t/tIQtzc0FlsBhwYh4HdSlCz10OgA=/1960x/https://images.macrumors.com/article-new/2020/12/apple-tv-world-surf-league-docuseries.jpg,2020-12-04T18:35:47Z,"Apple has picked up a new six-part documentary series about the World Surf League, which will provide a behind-the-scenes look at the ""aspirations, failures and accomplishments"" of the world's best s… [+1029 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Haley Henschel,"Apple's new MacBook Pro (hi, M1 chip) is back on sale at its Cyber Monday price","SAVE $100: The 256GB configuration of the new 13-inch MacBook Pro (featuring Apple's in-house M1 chip) usually sells for $1,299, but as of Dec. 4, Amazon's brought it back down to its Cyber Monday pricing of $1,199. 

Retailers stretched Black Friday througho…",https://mashable.com/shopping/dec-4-macbook-pro-m1-chip/,https://mondrian.mashable.com/2020%252F12%252F04%252Ff3%252F99813a3200954d3abfd5bd1a122ccf58.af27b.png%252F1200x630.png?signature=zA64mMW4egCbwFFKq5xnvb1RLww=,2020-12-04T16:53:22Z,"SAVE $100: The 256GB configuration of the new 13-inch MacBook Pro (featuring Apple's in-house M1 chip) usually sells for $1,299, but as of Dec. 4, Amazon's brought it back down to its Cyber Monday pr… [+1725 chars]"
"{'id': None, 'name': 'What Hi-Fi? US'}",Becky Roberts,Apple AirPods Studio could launch this year after all - What Hi-Fi?,"<ol><li>Apple AirPods Studio could launch this year after all  What Hi-Fi?
</li><li>New mysterious Apple product in the pipeline for December 8th?  TechRadar
</li><li>New Apple launch next week? AirPods Studio or AirTags may be on the way at last  T3
</li>…",https://www.whathifi.com/news/apple-airpods-studio-could-launch-this-year-after-all,https://cdn.mos.cms.futurecdn.net/qeTZfq6xCi5kKpAduKRM9L-1200-80.jpeg,2020-12-04T10:24:00Z,"It seems Apple could well have one more surprise for us this year.
MacRumours reports to have obtained an internal memo this week from a ""reliable source,"" in which Apple informs service providers t… [+1834 chars]"
"{'id': None, 'name': 'MacRumors'}",Hartley Charlton,Apple Researching a Matte Black Finish for MacBooks,"Apple has filed a patent application for an intense light-absorbant matte black finish for a range of products, including the iPhone, iPad, Apple Watch, and MacBook (via Patently Apple).



Image via ColorWare



The patent application, filed with the U.S. Pa…",https://www.macrumors.com/2020/12/04/apple-researching-matte-black-finish/,https://images.macrumors.com/t/JsXks5xdBjsKOEZugFV39OWBjAE=/2242x/https://images.macrumors.com/article-new/2020/12/matte-black-macbook-pro-colorware.jpg,2020-12-04T17:04:04Z,"Apple has filed a patent application for an intense light-absorbant matte black finish for a range of products, including the iPhone, iPad, Apple Watch, and MacBook (via Patently Apple).
The patent … [+1882 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Victoria Song,"If You Bought a Fitbit Sense Recently, You Should Check Your Email","The Fitbit Sense is the company’s most ambitious smartwatch in a long while—in large part because the device was the first Fitbit with FDA-cleared ECGs. However, it appears the company is now contacting some Fitbit Sense owners for replacements, citing an uns…",https://gizmodo.com/if-you-bought-a-fitbit-sense-recently-you-should-check-1845806948,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/eykretzox09jwinuqlkd.jpg",2020-12-04T15:01:00Z,"The Fitbit Sense is the companys most ambitious smartwatch in a long whilein large part because the device was the first Fitbit with FDA-cleared ECGs. However, it appears the company is now contactin… [+3234 chars]"
"{'id': None, 'name': 'CNET'}",Katie Collins,"Apple supports Malala Fund look at link between girls' education, climate change - CNET","At Web Summit, Nobel winner Malala Yousafzai and Apple exec Lisa Jackson discuss how educating girls can lead to a healthier planet. They also urge businesses to prioritize climate goals.",https://www.cnet.com/news/apple-supports-malala-fund-look-at-link-between-girls-education-climate-change/,https://cnet4.cbsistatic.com/img/OKeO9KNi6j6DwUMtU3GYBhGLj9g=/1200x630/2020/12/04/f934ea36-f75a-4136-a7a3-a58dd830f782/gettyimages-1193585800.jpg,2020-12-04T20:31:00Z,"At Web Summit, Apple's Lisa Jackson (left) spoke with Nobel Peace Prize winner Malala Yousafzai.
Screenshot by Katie Collins/CNET
Since 2018, tech giant Apple has been working with the Malala Fund … [+3564 chars]"
"{'id': None, 'name': 'Hackaday'}",Maya Posch,FTDI VCP Chips With Custom PIDs Not Working On MacOS 11 Big Sur,An anonymous reader pinged us about an issue that affects people who jumped onto the latest-and-greatest OS from the Apple gardens: USB devices that stop working due to the FTDI-based USB solution. At its core appears to be that the built-in FTDI driver provi…,https://hackaday.com/2020/12/03/ftdi-vcp-chips-with-custom-pids-not-working-on-macos-11-big-sur/,https://hackaday.com/wp-content/uploads/2016/02/ftdi-logo.jpg,2020-12-04T03:00:42Z,An anonymous reader pinged us about an issue that affects people who jumped onto the latest-and-greatest OS from the Apple gardens: USB devices that stop working due to the FTDI-based USB solution. A… [+929 chars]
"{'id': None, 'name': 'MacRumors'}",Tim Hardwick,FTC Warns of Recent Surge in Robocall Scammers Pretending to Be Apple,"The U.S. Federal Trade Commission has issued a warning to raise awareness of a new and increasingly widespread robocall scamming scheme that pretends to be Apple and Amazon. 





The robocalls come in two versions, according to the FTC. In the first, a recor…",https://www.macrumors.com/2020/12/04/ftc-warns-robocall-scams-posing-apple/,https://images.macrumors.com/t/OL4L8wRQ0zOB7sdMvzp5-GcwekY=/1600x/http://images.macrumors.com/article-new/2019/05/robocalls.jpg,2020-12-04T11:39:15Z,"The U.S. Federal Trade Commission has issued a warning to raise awareness of a new and increasingly widespread robocall scamming scheme that pretends to be Apple and Amazon. 
The robocalls come in t… [+1982 chars]"
"{'id': None, 'name': 'Applesilicongames.com'}",John Gruber,Apple Silicon Games for Mac,curated by Mac Gamers for Mac Gamers,https://applesilicongames.com/,https://applesilicongames.com/og.png,2020-12-04T20:20:39Z,"Macs
Traditionally Macs are not considered very gaming friendly.
Compared to Windows PCs the Mac game library is smaller and PCstypically come with broader support for GPUs many games get optimized… [+2247 chars]"
"{'id': None, 'name': 'Slashdot.org'}",BeauHD,"Steve Wozniak Is Starting Another Company, 45 Years After Co-Founding Apple With Steve Jobs","45 years after co-founding Apple with Steve Jobs, Steve Wozniak is starting a business in the green tech and blockchain space called Efforce. CNBC reports: Efforce, which has been in stealth mode for almost a year, is a marketplace for corporate or industrial…",https://apple.slashdot.org/story/20/12/04/2131234/steve-wozniak-is-starting-another-company-45-years-after-co-founding-apple-with-steve-jobs,https://a.fsdn.com/sd/topics/business_64.png,2020-12-04T22:50:00Z,"Efforce, which has been in stealth mode for almost a year, is a marketplace for corporate or industrial buildering owners to have ""green"" projects funded. According to Efforce, ""investors can partici… [+1197 chars]"
