source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: US House votes to boost stimulus package payments,"The chamber backs President Trump's call for $2,000 payments but the move could stall in the Senate.",http://www.bbc.co.uk/news/world-us-canada-55471647,https://ichef.bbci.co.uk/news/1024/branded_news/DE88/production/_116286965_gettyimages-1230097453.jpg,2020-12-29T02:37:22.8665351Z,"image copyrightGetty Images
image captionThe pandemic has devastated the US economy and caused a surge in unemployment
The US House of Representatives has voted in favour of increasing the aid sent… [+3075 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,When online meetings didn’t go as planned,"From animal interruptions to catching fire, here's a look back at the year we spent (badly) online.",http://www.bbc.co.uk/news/world-55375825,https://ichef.bbci.co.uk/images/ic/400xn/p092mw4b.jpg,2020-12-29T00:22:24.3846859Z,"2020 was the year everything went online. From virtual meetings and teaching online to socialising on a screen, a lot of us have spent a lot of time logged in.
But with interruptions from pets and c… [+197 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Coronavirus: Spain to keep registry of those who refuse Covid vaccine,"Vaccination will not be mandatory, officials say, and the register will not be made public.",http://www.bbc.co.uk/news/world-europe-55471282,https://ichef.bbci.co.uk/news/1024/branded_news/E144/production/_116286675_064969673.jpg,2020-12-29T00:22:20.541892Z,"image captionThe elderly are among those receiving the first wave of vaccinations in Spain
Spain is to set up a registry of people who refuse to be vaccinated against coronavirus and share it with o… [+2052 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Nashville explosion: Motives still unclear in Nashville 'suicide bomb',Investigators are trying to work out the motive behind the Christmas Day blast that injured three.,http://www.bbc.co.uk/news/world-us-canada-55468759,https://ichef.bbci.co.uk/news/1024/branded_news/11A22/production/_116262227_35c1f445-9ede-4644-94ff-6376ad96a1df.jpg,2020-12-28T22:52:22.2325734Z,"media captionWatch the aftermath of the explosion in Nashville
US investigators are trying to find out why a 63-year-old computer consultant detonated a bomb that killed himself and injured three ot… [+2705 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Joe Biden: 'Enormous damage' to US security agencies by Trump,The president-elect says his team is not getting the information it needs on national security.,http://www.bbc.co.uk/news/world-us-canada-55470625,https://ichef.bbci.co.uk/news/1024/branded_news/5F94/production/_116286442_064981892-1.jpg,2020-12-28T22:22:22.5033425Z,"Agencies critical to US security have suffered ""enormous damage"" at the hands of the Trump administration, US President-elect Joe Biden has said.
Mr Biden said his team was not getting the informati… [+1946 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: South Africa's Ramaphosa announces new restrictions as cases soar,"The measures include a ban on indoor and outdoor gatherings, and a night curfew, until 15 January.",http://www.bbc.co.uk/news/world-africa-55468104,https://ichef.bbci.co.uk/news/1024/branded_news/D4EC/production/_116280545_mediaitem116280544.jpg,2020-12-28T19:22:21.2057413Z,"image captionMr Ramaphosa said the country had let its guard down
President Cyril Ramaphosa has announced new tougher coronavirus restrictions, a day after South Africa recorded more than one millio… [+2585 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Hilaria Baldwin denies faking her Spanish heritage,The wife of Alec Baldwin has been accused of misleading the public over her Spanish heritage.,http://www.bbc.co.uk/news/world-us-canada-55468754,https://ichef.bbci.co.uk/news/1024/branded_news/14922/production/_116285248_mediaitem116285244.jpg,2020-12-28T17:22:21.0407189Z,"image copyrightGetty Images
image captionThe TV host has been accused of faking a Spanish accent
Hilaria Baldwin, TV host and wife of actor Alec Baldwin, has responded to accusations she misled the… [+1797 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid-19: Concern at 'unprecedented' infection level in England,"The UK reports a further 41,385 cases as hospitals struggle to cope with rising patient numbers.",http://www.bbc.co.uk/news/uk-55462701,https://ichef.bbci.co.uk/news/1024/branded_news/7889/production/_116275803_mediaitem116275477.jpg,2020-12-28T17:07:19.8638005Z,"England's ""very high"" Covid infection level is a ""growing concern"" as the NHS struggles to cope with rising patient numbers, a health official has said.
On Monday, a further 41,385 Covid cases and 3… [+5504 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Loujain al-Hathloul: Saudi woman activist jailed for five years,"Loujain al-Hathloul, 31, was prominent in the campaign to win the right for Saudi women to drive.",http://www.bbc.co.uk/news/world-middle-east-55467414,https://ichef.bbci.co.uk/news/1024/branded_news/113E0/production/_115242607_mediaitem115237706.jpg,2020-12-28T13:07:20.5474276Z,"image captionLoujain al-Hathloul was detained in 2018
A prominent Saudi female activist, who campaigned for women's right to drive, has been sentenced to more than five years in prison. 
Loujain al… [+2032 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Brexit: Britons warned to prepare for 'some disruption',"Ministers warn of ""practical and procedural changes"" when the Brexit transition period ends this week.",http://www.bbc.co.uk/news/uk-55463506,https://ichef.bbci.co.uk/news/1024/branded_news/EDB9/production/_116275806_mediaitem116275805.jpg,2020-12-28T07:52:23.5254222Z,"Businesses and travellers should get ready for ""substantial"" change from New Year's Eve, when the UK leaves the EU, the government has said.
Cabinet Office Minister Michael Gove said there would be … [+3900 chars]"
"{'id': None, 'name': 'MacRumors'}",Juli Clover,Apple Offers Solution for 'Pairing Canceled' Error When Using Apple Fitness+ on Apple TV,"Some customers attempting to use the new Apple Fitness+ workout service on their Apple TVs have been encountering a ""pairing canceled"" error when attempting to connect, and Apple on Friday shared a solution.





It appears the issue occurs when an Apple TV h…",https://www.macrumors.com/2020/12/20/apple-fitness-plus-pairing-canceled/,https://images.macrumors.com/t/txsLtHO6RE7HXaLTfDjOQKF2wp8=/1600x/https://images.macrumors.com/article-new/2020/09/applefitness.jpg,2020-12-20T18:35:29Z,"Some customers attempting to use the new Apple Fitness+ workout service on their Apple TVs have been encountering a ""pairing canceled"" error when attempting to connect, and Apple on Friday shared a s… [+902 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Jody Serrano,You Know the Pandemic's Getting Worse if Apple's Closing Its Stores En Masse Again,"Besides the official reports from states, the federal government, and entities like Johns Hopkins, there’s always been another, unorthodox way to gauge the severity of the pandemic: Apple Store closures. The company was one of the first major retailers to clo…",https://gizmodo.com/you-know-the-pandemics-getting-worse-if-apples-closing-1845923736,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/tnm30tjowepoqrvimnf0.jpg",2020-12-20T23:05:00Z,"Besides the official reports from states, the federal government, and entities like Johns Hopkins, theres always been another, unorthodox way to gauge the severity of the pandemic: Apple Store closur… [+2764 chars]"
"{'id': 'engadget', 'name': 'Engadget'}",Jon Fingas,Zoom will officially support Apple's M1 Macs on December 21st,"If you’re using Zoom on your M1 Mac for virtual holiday get-togethers, you’ll be happy to hear that an upgrade is arriving in a timely fashion. 9to5Mac has learned that Zoom is rolling out a December 21st update that lets the video calling app natively suppor…",https://www.engadget.com/zoom-apple-silicon-m1-mac-support-222520881.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-12%2F938c0690-430f-11eb-beff-7ab239e984a3&client=amp-blogside-v2&signature=2d28edee4cd63be24174425ba2c4f79aca0bb3ec,2020-12-20T22:25:20Z,"If you’re using Zoom on your M1 Mac for virtual holiday get-togethers, you’ll be happy to hear that an upgrade is arriving in a timely fashion. 9to5Mac has learned that Zoom is rolling out a December… [+516 chars]"
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Anthony Ha,Original Content podcast: The pandemic thriller ‘Songbird’ could have been a lot worse,"Let’s be clear: “Songbird” is not a good movie. It’s hard to see how it could have been any good, since “Songbird” was written shortly after the pandemic began and filmed a few months later — so the filmmakers had to write a screenplay, shoot it in the midst …",http://techcrunch.com/2020/12/20/original-content-podcast-the-pandemic-thriller-songbird-could-have-been-a-lot-worse/,https://techcrunch.com/wp-content/uploads/2020/12/songbird-2.jpg?w=711,2020-12-20T14:00:07Z,"Let’s be clear: “Songbird” is not a good movie.
It’s hard to see how it could have been any good, since “Songbird” was written shortly after the pandemic began and filmed a few months later so the f… [+1626 chars]"
"{'id': None, 'name': 'MacRumors'}",Joe Rossignol,"Apple Maps Vehicles Collecting 'Look Around' Imagery in Israel, New Zealand, and Singapore","LiDAR-equipped Apple Maps vehicles are surveying select regions of Israel, New Zealand, and Singapore through early 2021, collecting street-level imagery and data, according to a list of locations maintained on Apple's website.





Apple will use the data co…",https://www.macrumors.com/2020/12/20/apple-maps-vehicles-new-zealand-singapore-israel/,https://images.macrumors.com/t/apODwd6idq9hJu3wWfQpuXgf9f0=/1600x/https://images.macrumors.com/article-new/2020/06/apple-maps-and-look-around.jpg,2020-12-20T16:17:00Z,"LiDAR-equipped Apple Maps vehicles are surveying select regions of Israel, New Zealand, and Singapore through early 2021, collecting street-level imagery and data, according to a list of locations ma… [+1153 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Rachel Kraus,These apps showed me that looking at my own photos is the best social media,"Influencers, advertisers, friends of friends of friends. Social media is a great way to get mundane updates about people you don't know very well. Unfortunately, in 2020, it was one of the only ways to see into the lives of other human beings, so we scrolled …",https://mashable.com/article/photo-apps-replacing-social-media/,https://mondrian.mashable.com/2020%252F12%252F19%252Fcf%252Fd06268f70e8d4757a7dcdb77065285d0.df62e.jpg%252F1200x630.jpg?signature=ctDN39zI1qiyRIYhRzqLHu8_C9s=,2020-12-20T13:00:00Z,"Influencers, advertisers, friends of friends of friends. Social media is a great way to get mundane updates about people you don't know very well. Unfortunately, in 2020, it was one of the only ways … [+8170 chars]"
"{'id': None, 'name': 'MacRumors'}",Juli Clover,"Almost 100 Apple Stores Closed Again, Including All Stores in California","Apple this weekend shut down all of its stores in California, including those in the San Francisco Bay Area, after beginning to shutter stores in Los Angeles on Friday.





All retail locations in California have a notice letting customers know that the stor…",https://www.macrumors.com/2020/12/20/nearly-100-apple-stores-now-closed/,https://images.macrumors.com/t/ZTmtJtsFqMV39LE6LgP1a_Kkdh4=/1839x/https://images.macrumors.com/article-new/2020/12/apple-store-closure-california.jpg,2020-12-20T18:52:55Z,"Apple this weekend shut down all of its stores in California, including those in the San Francisco Bay Area, after beginning to shutter stores in Los Angeles on Friday.
All retail locations in Calif… [+1729 chars]"
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Zack Whittaker,"Dozens of journalists’ iPhones hacked with NSO ‘zero-click’ spyware, says Citizen Lab","Citizen Lab researchers say they have found evidence that dozens of journalists had their iPhones silently compromised with spyware known to be used by nation states. For more than the past year, London-based reporter Rania Dridi and at least 36 journalists, …",http://techcrunch.com/2020/12/20/citizen-lab-iphone-nso-group/,https://techcrunch.com/wp-content/uploads/2020/12/GettyImages-464140381.jpg?w=623,2020-12-20T20:00:43Z,"Citizen Lab researchers say they have found evidence that dozens of journalists had their iPhones silently compromised with spyware known to be used by nation states.
For more than the past year, Lo… [+7137 chars]"
"{'id': 'reuters', 'name': 'Reuters'}",Kanishka Singh,"Apple temporarily shuts California stores in virus surge, some in UK after new curbs - Reuters India","Apple Inc has temporarily shut all of its 53 stores in California because of a coronavirus outbreak and 16 stores in the United Kingdom following restrictions introduced by the government in London, a spokesman said on Saturday.",https://in.reuters.com/article/apple-store-closures-idINKBN28U02B,https://static.reuters.com/resources/r/?m=02&d=20201220&t=2&i=1545177580&r=LYNXMPEGBJ01R&w=800,2020-12-20T02:17:00Z,"The Apple logo is displayed at an event at their headquarters in Cupertino, California, U.S. September 10, 2019. REUTERS/Stephen Lam/Files
(Reuters) - Apple Inc has temporarily shut all of its 53 st… [+1622 chars]"
"{'id': None, 'name': 'Boing Boing'}",Xeni Jardin,Apple shuts all California stores temporarily as COVID-19 pandemic surges,"Apple is temporarily shutting down all of its California retail stores, as the COVID-19 outbreak becomes dire throughout the state.



From Reuters:



Apple Inc has temporarily shut all of its 53 stores in California amid the ongoing coronavirus outbreak, a …",https://boingboing.net/2020/12/19/apple-shuts-all-california-stores-temporarily-as-covid-19-pandemic-surges.html,https://i2.wp.com/boingboing.net/wp-content/uploads/2020/05/Screen-Shot-2020-05-26-at-5.26.34-PM.png?fit=631%2C355&ssl=1,2020-12-20T00:45:02Z,
"{'id': None, 'name': 'Slashdot.org'}",EditorDavid,Facebook's Criticism of Apple's Tracking Change Called 'Laughable' by EFF,"The MacRumors site writes:
Facebook's recent criticism directed at Apple over an upcoming tracking-related privacy measure is ""laughable,"" according to the Electronic Frontier Foundation (EFF), a non-profit organization that defends civil liberties in the dig…",https://yro.slashdot.org/story/20/12/20/1935215/facebooks-criticism-of-apples-tracking-change-called-laughable-by-eff,https://a.fsdn.com/sd/topics/eff_64.png,2020-12-20T19:37:00Z,"Facebook's recent criticism directed at Apple over an upcoming tracking-related privacy measure is ""laughable,"" according to the Electronic Frontier Foundation (EFF), a non-profit organization that d… [+1061 chars]"
"{'id': None, 'name': 'Medium'}",Erik Engheim,Apple M1 foreshadows Rise of RISC-V,By now it is pretty clear that Apple’s M1 chip is a big deal. And the implications for the rest of the industry is gradually becoming clearer. In this story I want to talk about a connection to…,https://erik-engheim.medium.com/apple-m1-foreshadows-risc-v-dd63a62b2562,https://miro.medium.com/max/678/1*DcbqCwxXvWGHcXgw4_r2JQ.jpeg,2020-12-20T01:22:15Z,Likewise with these interrupts we can send complex machine learning tasks to the M1 Neural Engine to say identify a face on the WebCam. Simultaneously the rest of the computer is responsive because t… [+8827 chars]
