source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: US House votes to boost stimulus package payments,"The chamber backs President Trump's call for $2,000 payments but the move could stall in the Senate.",http://www.bbc.co.uk/news/world-us-canada-55471647,https://ichef.bbci.co.uk/news/1024/branded_news/DE88/production/_116286965_gettyimages-1230097453.jpg,2020-12-29T02:37:22.8665351Z,"image copyrightGetty Images
image captionThe pandemic has devastated the US economy and caused a surge in unemployment
The US House of Representatives has voted in favour of increasing the aid sent… [+3075 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,When online meetings didn’t go as planned,"From animal interruptions to catching fire, here's a look back at the year we spent (badly) online.",http://www.bbc.co.uk/news/world-55375825,https://ichef.bbci.co.uk/images/ic/400xn/p092mw4b.jpg,2020-12-29T00:22:24.3846859Z,"2020 was the year everything went online. From virtual meetings and teaching online to socialising on a screen, a lot of us have spent a lot of time logged in.
But with interruptions from pets and c… [+197 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Coronavirus: Spain to keep registry of those who refuse Covid vaccine,"Vaccination will not be mandatory, officials say, and the register will not be made public.",http://www.bbc.co.uk/news/world-europe-55471282,https://ichef.bbci.co.uk/news/1024/branded_news/E144/production/_116286675_064969673.jpg,2020-12-29T00:22:20.541892Z,"image captionThe elderly are among those receiving the first wave of vaccinations in Spain
Spain is to set up a registry of people who refuse to be vaccinated against coronavirus and share it with o… [+2052 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Nashville explosion: Motives still unclear in Nashville 'suicide bomb',Investigators are trying to work out the motive behind the Christmas Day blast that injured three.,http://www.bbc.co.uk/news/world-us-canada-55468759,https://ichef.bbci.co.uk/news/1024/branded_news/11A22/production/_116262227_35c1f445-9ede-4644-94ff-6376ad96a1df.jpg,2020-12-28T22:52:22.2325734Z,"media captionWatch the aftermath of the explosion in Nashville
US investigators are trying to find out why a 63-year-old computer consultant detonated a bomb that killed himself and injured three ot… [+2705 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Joe Biden: 'Enormous damage' to US security agencies by Trump,The president-elect says his team is not getting the information it needs on national security.,http://www.bbc.co.uk/news/world-us-canada-55470625,https://ichef.bbci.co.uk/news/1024/branded_news/5F94/production/_116286442_064981892-1.jpg,2020-12-28T22:22:22.5033425Z,"Agencies critical to US security have suffered ""enormous damage"" at the hands of the Trump administration, US President-elect Joe Biden has said.
Mr Biden said his team was not getting the informati… [+1946 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: South Africa's Ramaphosa announces new restrictions as cases soar,"The measures include a ban on indoor and outdoor gatherings, and a night curfew, until 15 January.",http://www.bbc.co.uk/news/world-africa-55468104,https://ichef.bbci.co.uk/news/1024/branded_news/D4EC/production/_116280545_mediaitem116280544.jpg,2020-12-28T19:22:21.2057413Z,"image captionMr Ramaphosa said the country had let its guard down
President Cyril Ramaphosa has announced new tougher coronavirus restrictions, a day after South Africa recorded more than one millio… [+2585 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Hilaria Baldwin denies faking her Spanish heritage,The wife of Alec Baldwin has been accused of misleading the public over her Spanish heritage.,http://www.bbc.co.uk/news/world-us-canada-55468754,https://ichef.bbci.co.uk/news/1024/branded_news/14922/production/_116285248_mediaitem116285244.jpg,2020-12-28T17:22:21.0407189Z,"image copyrightGetty Images
image captionThe TV host has been accused of faking a Spanish accent
Hilaria Baldwin, TV host and wife of actor Alec Baldwin, has responded to accusations she misled the… [+1797 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid-19: Concern at 'unprecedented' infection level in England,"The UK reports a further 41,385 cases as hospitals struggle to cope with rising patient numbers.",http://www.bbc.co.uk/news/uk-55462701,https://ichef.bbci.co.uk/news/1024/branded_news/7889/production/_116275803_mediaitem116275477.jpg,2020-12-28T17:07:19.8638005Z,"England's ""very high"" Covid infection level is a ""growing concern"" as the NHS struggles to cope with rising patient numbers, a health official has said.
On Monday, a further 41,385 Covid cases and 3… [+5504 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Loujain al-Hathloul: Saudi woman activist jailed for five years,"Loujain al-Hathloul, 31, was prominent in the campaign to win the right for Saudi women to drive.",http://www.bbc.co.uk/news/world-middle-east-55467414,https://ichef.bbci.co.uk/news/1024/branded_news/113E0/production/_115242607_mediaitem115237706.jpg,2020-12-28T13:07:20.5474276Z,"image captionLoujain al-Hathloul was detained in 2018
A prominent Saudi female activist, who campaigned for women's right to drive, has been sentenced to more than five years in prison. 
Loujain al… [+2032 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Brexit: Britons warned to prepare for 'some disruption',"Ministers warn of ""practical and procedural changes"" when the Brexit transition period ends this week.",http://www.bbc.co.uk/news/uk-55463506,https://ichef.bbci.co.uk/news/1024/branded_news/EDB9/production/_116275806_mediaitem116275805.jpg,2020-12-28T07:52:23.5254222Z,"Businesses and travellers should get ready for ""substantial"" change from New Year's Eve, when the UK leaves the EU, the government has said.
Cabinet Office Minister Michael Gove said there would be … [+3900 chars]"
"{'id': 'engadget', 'name': 'Engadget'}",Igor Bonifacic,Apple is shutting down its Music Memos recording app,"Anytime you download an app, there’s a chance the developer that created it will one day sunset one of your favorite experiences. Unfortunately, that’s to be the fate of Apple’s Music Memos software. This week, the company updated the app to version 1.0.7. Co…",https://www.engadget.com/apple-music-memos-migration-175611500.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-12%2F6c9506a0-3bd9-11eb-95f6-9c1677c2664a&client=amp-blogside-v2&signature=3d892205deeec9227435c9ba88030bed969d1632,2020-12-11T17:56:11Z,"When you open the updated Music Memos, a notification will prompt you to export your recordings to Voice Memos. If you dismiss the pop-up, it will appear in another seven days. Once you complete the … [+618 chars]"
"{'id': None, 'name': 'New York Times'}",,The Best Albums of 2020? Let’s Discuss,"An absence of live music refocused attention on records, and work by Fiona Apple, Taylor Swift and Run the Jewels spoke loudly.",https://www.nytimes.com/2020/12/09/arts/music/popcast-best-albums-2020.html,https://static01.nyt.com/images/2020/12/09/arts/09popcast/09popcast-facebookJumbo.jpg,2020-12-11T19:00:16Z,"In the absence of live music this year, there was renewed focus on that old standby, the recorded album. It turns out that the album is an ideal format for the era of coronavirus quarantine a longfor… [+704 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Sam Rutherford,Apple Does the Inevitable and Begins Development on Its Own Cellular Modem,"After bringing processor development in-house with the arrival of its Arm-based M1 chip, Apple has now taken the next logical step by beginning the development of custom-designed cellular modems.Read more...",https://gizmodo.com/apple-does-the-inevitable-and-begins-development-on-its-1845860711,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dgbv6pa8h4paurro0gna.jpg",2020-12-11T16:33:00Z,"After bringing processor development in-house with the arrival of its Arm-based M1 chip, Apple has now taken the next logical step by beginning the development of custom-designed cellular modems.
In… [+2516 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Andrew Liszewski,A Rare Original Apple 1 Computer Was Sacrificed For These Ugly Custom iPhones,"In October of 2014, a rare Apple 1 motherboard, thought to be one of the first 50 built by Steve Wozniak in Steve Jobs’ family home, was sold by Bohnams at auction for $905,000. Today, you can own a small piece of that Silicon Valley artifact, but it comes at…",https://gizmodo.com/a-rare-original-apple-1-computer-was-sacrificed-for-the-1845859476,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/zfapeb3nqcecle3lzsse.jpg",2020-12-11T14:50:00Z,"In October of 2014, a rare Apple 1 motherboard, thought to be one of the first 50 built by Steve Wozniak in Steve Jobs family home, was sold by Bohnams at auction for $905,000. Today, you can own a s… [+2199 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Rhett Jones,"Have You Ever Heard of This App by Apple? Well, It’s Dying","While Google launches and discontinues products at a rate that no one can keep up with, Apple’s modern track record for sticking with its bets is virtually unparalleled among its peers. But nothing lasts forever, and this week brought the beginning of the end…",https://gizmodo.com/have-you-ever-heard-of-this-app-by-apple-well-it-s-dy-1845863817,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/xpjeliz1euqiedykvm7g.jpg",2020-12-11T21:00:00Z,"While Google launches and discontinues products at a rate that no one can keep up with, Apples modern track record for sticking with its bets is virtually unparalleled among its peers. But nothing la… [+1414 chars]"
"{'id': None, 'name': 'Lifehacker.com'}",David Galloway and Aisha Jordan,How to Get Rid of Drain Flies,"Drain flies, also known as moth flies, are small gnat-like bugs that are commonly seen flying around a bathroom sink given that they live in damp, dark spaces where their larva can feed. They hatch in water, much like mosquitos, and live for about two weeks. …",https://lifehacker.com/how-to-get-rid-of-drain-flies-5826486,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/h62zfjvbwhu7jgcxx5k2.jpg",2020-12-11T21:45:00Z,"Drain flies, also known as moth flies, are small gnat-like bugs that are commonly seen flying around a bathroom sink given that they live in damp, dark spaces where their larva can feed. They hatch i… [+2266 chars]"
"{'id': None, 'name': 'CNET'}",Alison DeNisco Rayome,"The best apps and games of 2020, according to Apple - CNET","The company has collected the apps and games for iPhone, iPad, Mac, Apple TV and Apple Watch that helped us get through 2020.",https://www.cnet.com/news/the-best-apps-and-games-of-2020-according-to-apple/,https://cnet3.cbsistatic.com/img/Zd53oIylZaZz-J8ahmNkojelq3g=/1200x630/2020/11/09/60260ea1-256d-4f0c-aed5-b474b7038e59/07-iphone-12-mini.jpg,2020-12-11T12:00:04Z,"Patrick Holland/CNET
This story is part of Tech for a Better World, stories about the diverse teams creating products, apps and services to improve our lives and society.
Last week, Apple unveiled … [+6984 chars]"
"{'id': None, 'name': 'MacRumors'}",Juli Clover,Apple Shares Trailer for 'Dickinson' Season 2 Ahead of January 8 Launch,"Apple today shared a new trailer for the second season of Apple TV+ show ""Dickinson,"" which is set to premiere on Friday, January 8.






In ""Dickinson,"" Hailee Steinfeld plays famous American poet Emily Dickinson and the show uses humor to explore the cons…",https://www.macrumors.com/2020/12/11/apple-shares-dickinson-season-2-trailer/,https://images.macrumors.com/t/IzoCszcY1wJRDY8_1PKhKTOjCMA=/1600x/http://images.macrumors.com/article-new/2019/09/dickinsontrailer.jpg,2020-12-11T17:10:51Z,"Apple today shared a new trailer for the second season of Apple TV+ show ""Dickinson,"" which is set to premiere on Friday, January 8.
In ""Dickinson,"" Hailee Steinfeld plays famous American poet Emily… [+476 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",David Nield,How Secure Is Your Digital Assistant?,"Chatting with Google Assistant, Alexa, or Siri has become a part of our day-to-day life, whether we’re using our voices to turn on smart lights or ask our devices for the weather forecast. But what you might not think about daily is just how secure and privat…",https://gizmodo.com/how-secure-is-your-digital-assistant-1845851864,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ql3r1s3w5sjiquev8ewt.jpg",2020-12-11T13:30:00Z,"Chatting with Google Assistant, Alexa, or Siri has become a part of our day-to-day life, whether were using our voices to turn on smart lights or ask our devices for the weather forecast. But what yo… [+7510 chars]"
"{'id': 'ars-technica', 'name': 'Ars Technica'}",Timothy B. Lee,"Apple’s app store is an illegal monopoly, rival Cydia claims in suit",Apple argues the iPhone and its app store are part of the same product.,https://arstechnica.com/tech-policy/2020/12/apples-app-store-is-an-illegal-monopoly-rival-cydia-claims-in-suit/,https://cdn.arstechnica.net/wp-content/uploads/2012/06/iphone_homescreen1-499x215.jpg,2020-12-11T20:15:54Z,"1 with 1 posters participating
The company behind Cydia, an iPhone app store that launched before Apple's own App Store, has sued Apple arguing that Apple has monopolized the market for iOS app stor… [+3447 chars]"
"{'id': None, 'name': 'MacRumors'}",Tim Hardwick,Apple Music to Get Animated Album Artwork in iOS 14.3 and macOS 11.1,"Apple Music includes new animated album artwork in the latest beta versions of iOS 14.3 and macOS 11.1, indicating that the feature will likely come to subscribers of the streaming service next week.





‌Apple Music‌ gained animated playlist artwork with th…",https://www.macrumors.com/2020/12/11/apple-music-animated-album-artwork/,https://images.macrumors.com/t/duHVI2epGrgE1M5dvt4dgsMiA6w=/1600x/https://images.macrumors.com/article-new/2020/12/apple-music-logo.jpg,2020-12-11T12:11:28Z,"Apple Music includes new animated album artwork in the latest beta versions of iOS 14.3 and macOS 11.1, indicating that the feature will likely come to subscribers of the streaming service next week.… [+846 chars]"
"{'id': None, 'name': 'Seeking Alpha'}",,"Apple's in-house modem plans don't change positive Qualcomm thesis, says Canaccord bull - Seeking Alpha","<ol><li>Apple's in-house modem plans don't change positive Qualcomm thesis, says Canaccord bull  Seeking Alpha
</li><li>Apple is now building the chip it needs to ditch Qualcomm like it ditched Intel  The Verge
</li><li>Apple is developing its own modem for…",https://seekingalpha.com/news/3643720-apples-in-house-modem-plans-dont-change-positive-qualcomm-thesis-says-canaccord-bull,https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,2020-12-11T14:42:00Z,
