source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: US House votes to boost stimulus package payments,"The chamber backs President Trump's call for $2,000 payments but the move could stall in the Senate.",http://www.bbc.co.uk/news/world-us-canada-55471647,https://ichef.bbci.co.uk/news/1024/branded_news/DE88/production/_116286965_gettyimages-1230097453.jpg,2020-12-29T02:37:22.8665351Z,"image copyrightGetty Images
image captionThe pandemic has devastated the US economy and caused a surge in unemployment
The US House of Representatives has voted in favour of increasing the aid sent… [+3075 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,When online meetings didn’t go as planned,"From animal interruptions to catching fire, here's a look back at the year we spent (badly) online.",http://www.bbc.co.uk/news/world-55375825,https://ichef.bbci.co.uk/images/ic/400xn/p092mw4b.jpg,2020-12-29T00:22:24.3846859Z,"2020 was the year everything went online. From virtual meetings and teaching online to socialising on a screen, a lot of us have spent a lot of time logged in.
But with interruptions from pets and c… [+197 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Coronavirus: Spain to keep registry of those who refuse Covid vaccine,"Vaccination will not be mandatory, officials say, and the register will not be made public.",http://www.bbc.co.uk/news/world-europe-55471282,https://ichef.bbci.co.uk/news/1024/branded_news/E144/production/_116286675_064969673.jpg,2020-12-29T00:22:20.541892Z,"image captionThe elderly are among those receiving the first wave of vaccinations in Spain
Spain is to set up a registry of people who refuse to be vaccinated against coronavirus and share it with o… [+2052 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Nashville explosion: Motives still unclear in Nashville 'suicide bomb',Investigators are trying to work out the motive behind the Christmas Day blast that injured three.,http://www.bbc.co.uk/news/world-us-canada-55468759,https://ichef.bbci.co.uk/news/1024/branded_news/11A22/production/_116262227_35c1f445-9ede-4644-94ff-6376ad96a1df.jpg,2020-12-28T22:52:22.2325734Z,"media captionWatch the aftermath of the explosion in Nashville
US investigators are trying to find out why a 63-year-old computer consultant detonated a bomb that killed himself and injured three ot… [+2705 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Joe Biden: 'Enormous damage' to US security agencies by Trump,The president-elect says his team is not getting the information it needs on national security.,http://www.bbc.co.uk/news/world-us-canada-55470625,https://ichef.bbci.co.uk/news/1024/branded_news/5F94/production/_116286442_064981892-1.jpg,2020-12-28T22:22:22.5033425Z,"Agencies critical to US security have suffered ""enormous damage"" at the hands of the Trump administration, US President-elect Joe Biden has said.
Mr Biden said his team was not getting the informati… [+1946 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: South Africa's Ramaphosa announces new restrictions as cases soar,"The measures include a ban on indoor and outdoor gatherings, and a night curfew, until 15 January.",http://www.bbc.co.uk/news/world-africa-55468104,https://ichef.bbci.co.uk/news/1024/branded_news/D4EC/production/_116280545_mediaitem116280544.jpg,2020-12-28T19:22:21.2057413Z,"image captionMr Ramaphosa said the country had let its guard down
President Cyril Ramaphosa has announced new tougher coronavirus restrictions, a day after South Africa recorded more than one millio… [+2585 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Hilaria Baldwin denies faking her Spanish heritage,The wife of Alec Baldwin has been accused of misleading the public over her Spanish heritage.,http://www.bbc.co.uk/news/world-us-canada-55468754,https://ichef.bbci.co.uk/news/1024/branded_news/14922/production/_116285248_mediaitem116285244.jpg,2020-12-28T17:22:21.0407189Z,"image copyrightGetty Images
image captionThe TV host has been accused of faking a Spanish accent
Hilaria Baldwin, TV host and wife of actor Alec Baldwin, has responded to accusations she misled the… [+1797 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid-19: Concern at 'unprecedented' infection level in England,"The UK reports a further 41,385 cases as hospitals struggle to cope with rising patient numbers.",http://www.bbc.co.uk/news/uk-55462701,https://ichef.bbci.co.uk/news/1024/branded_news/7889/production/_116275803_mediaitem116275477.jpg,2020-12-28T17:07:19.8638005Z,"England's ""very high"" Covid infection level is a ""growing concern"" as the NHS struggles to cope with rising patient numbers, a health official has said.
On Monday, a further 41,385 Covid cases and 3… [+5504 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Loujain al-Hathloul: Saudi woman activist jailed for five years,"Loujain al-Hathloul, 31, was prominent in the campaign to win the right for Saudi women to drive.",http://www.bbc.co.uk/news/world-middle-east-55467414,https://ichef.bbci.co.uk/news/1024/branded_news/113E0/production/_115242607_mediaitem115237706.jpg,2020-12-28T13:07:20.5474276Z,"image captionLoujain al-Hathloul was detained in 2018
A prominent Saudi female activist, who campaigned for women's right to drive, has been sentenced to more than five years in prison. 
Loujain al… [+2032 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Brexit: Britons warned to prepare for 'some disruption',"Ministers warn of ""practical and procedural changes"" when the Brexit transition period ends this week.",http://www.bbc.co.uk/news/uk-55463506,https://ichef.bbci.co.uk/news/1024/branded_news/EDB9/production/_116275806_mediaitem116275805.jpg,2020-12-28T07:52:23.5254222Z,"Businesses and travellers should get ready for ""substantial"" change from New Year's Eve, when the UK leaves the EU, the government has said.
Cabinet Office Minister Michael Gove said there would be … [+3900 chars]"
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Manish Singh,Apple puts contract partner Wistron on probation after violence at India plant,Apple has placed its contract manufacturing partner Wistron on probation and won’t give the Taiwanese firm any new business until it took “complete corrective actions” following lapses at its southern India plant. The iPhone maker said on Saturday that its em…,http://techcrunch.com/2020/12/19/apple-puts-contract-partner-wistron-on-probation-after-violence-at-india-plant/,https://techcrunch.com/wp-content/uploads/2020/12/GettyImages-1230098368.jpg?w=600,2020-12-19T10:44:28Z,Apple has placed its contract manufacturing partner Wistron on probation and won’t give the Taiwanese firm any new business until it took complete corrective actions following lapses at its southern … [+1874 chars]
"{'id': 'mashable', 'name': 'Mashable'}",Joseph Green,Create your own Apple apps and widgets with this online course,"TL;DR: The SwiftUI Apps for All Apple Platforms Course is on sale for £11.10 as of Dec. 19, saving you 92% on list price.

If you want to learn how to create your own apps, the SwiftUI Apps for All Apple Platforms Course will give you a peek behind the curtai…",https://mashable.com/uk/shopping/dec-19-swiftui-apps-course/,https://mondrian.mashable.com/2020%252F12%252F19%252Fa7%252Fba4556a0ce644c2fb2f27427352161b9.8fd6e.jpg%252F1200x630.jpg?signature=mzdnfJbqzosUgmtSiVZqcVTX7b4=,2020-12-19T05:05:00Z,"TL;DR: The SwiftUI Apps for All Apple Platforms Course is on sale for£11.10 as of Dec. 19, saving you 92% on list price.
If you want to learn how to create your own apps, the SwiftUI Apps for All Ap… [+932 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Barbara Krasnoff,The Verge’s 17 favorite podcasts of 2020,"We asked the staff at The Verge what their current favorite podcasts were. Here they are, including Ear Hustle, Lost Notes, Trump Inc, Code Switch from NPR and The Daily from the NY Times.",https://www.theverge.com/22163667/2020-favorite-best-podcasts-tech-culture-apple-google-stitcher-soundcloud-spotify,https://cdn.vox-cdn.com/thumbor/uAlxZ35y8EDgQoxwpc2zbJ-hFcM=/0x46:640x381/fit-in/1200x630/cdn.vox-cdn.com/assets/3923601/microphone.jpg,2020-12-19T14:00:00Z,"Many of us were not commuting as usual during 2020, so our podcast listening time may have been somewhat lessened. However, podcasts are still popular. They’re great to listen to while driving, clean… [+11023 chars]"
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Sarah Perez,"This Week in Apps: App Store privacy labels, Facebook criticizes Apple over ad targeting, Twitter kills Periscope","Welcome back to This Week in Apps, the weekly TechCrunch series that recaps the latest in mobile OS news, mobile applications and the overall app economy. The app industry is as hot as ever, with a record 204 billion downloads and $120 billion in global consu…",http://techcrunch.com/2020/12/19/this-week-in-apps-app-store-privacy-labels-facebook-criticizes-apple-over-ad-targeting-twitter-kills-periscope/,https://techcrunch.com/wp-content/uploads/2020/10/this-week-in-apps-splash-2.png?w=753,2020-12-19T15:28:29Z,"Welcome back to This Week in Apps,  href=""https://techcrunch.com/tag/this-week-in-apps/""&gt;the weekly TechCrunch series that recaps the latest in mobile OS news, mobile applications and the overall … [+20054 chars]"
"{'id': None, 'name': 'CNET'}",Vanessa Hand Orellana,Apple Fitness Plus is a no-brainer if you already own an Apple Watch - CNET,"Apple's $10-a-month subscription service for iPhone, iPad and Apple TV makes it easy to work out anytime and anywhere using your Apple Watch.",https://www.cnet.com/news/review-apple-fitness-plus-no-brainer-if-you-already-own-apple-watch/,https://cnet2.cbsistatic.com/img/u8dwGU2_s1tSr5HDa7jdgPZOrmY=/1200x630/2020/12/14/16c8192a-f574-4543-a7c1-b6b0ed1ffb18/facetune-11-12-2020-20-13-42.jpg,2020-12-19T13:00:10Z,"Apple Fitness Plus streaming on the AppleTV. 
Vanessa Hand Orellana/CNET
Apple has given us a not so subtle reminder to get moving with Fitness Plus, the new service that gives you all types of gui… [+10866 chars]"
"{'id': 'engadget', 'name': 'Engadget'}",Engadget,The Morning After: The 'Cyberpunk 2077' spiral continues,"After Sony pulled Cyberpunk 2077 from its PlayStation store, what could happen next? Well, Microsoft is still willing to sell the game on Xbox, but it has matched Sony’s offer with refunds for anyone who wants one. Meanwhile, CD Projekt Red itself will refund…",https://www.engadget.com/cyberpunk-problems-refunds-tma-154720766.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-12%2Feb79f380-4210-11eb-9eff-c7b09f0fb5d0&client=amp-blogside-v2&signature=4adaaa091f25d14c1efa9929e43fc242b8cda013,2020-12-19T15:47:20Z,"After Sony pulled Cyberpunk 2077 from its PlayStation store, what could happen next? Well, Microsoft is still willing to sell the game on Xbox, but it has matched Sony’s offer with refunds for anyone… [+2384 chars]"
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Apple restricts supplier after factory violence - Reuters,"Apple has placed supplier Wistron on probation, saying on Saturday it would not award the Taiwanese contract manufacturer new business until it addressed the way workers were treated at its southern India plant. Fred Katayama reports.",https://www.reuters.com/video/watch/idOVD9OH5ZF,https://static.reuters.com/resources/r/?d=20201219&i=OVD9OH5ZF&r=OVD9OH5ZF&t=2,2020-12-19T20:14:38Z,"Posted 
Apple has placed supplier Wistron on probation, saying on Saturday it would not award the Taiwanese contract manufacturer new business until it addressed the way workers were treated at its … [+43 chars]"
"{'id': None, 'name': 'MacRumors'}",MacRumors Staff,"Top Stories: Hands-On With AirPods Max, Apple Fitness+ Debuts, iPhone 13 and Apple TV Rumors","Things remained extremely busy this week in the Apple world, even with the holidays quickly approaching. Apple pushed several new releases out the door on the hardware and software fronts this week, including AirPods Max, Fitness+, and other new features and …",https://www.macrumors.com/2020/12/19/top-stories-airpods-max-apple-fitness-launch/,https://images.macrumors.com/t/aybjrlZnimZF3Xc4yNMg3qJiojQ=/1920x/https://images.macrumors.com/article-new/2020/12/Top-Stories-40-Feature.jpg,2020-12-19T14:00:18Z,"Things remained extremely busy this week in the Apple world, even with the holidays quickly approaching. Apple pushed several new releases out the door on the hardware and software fronts this week, … [+7722 chars]"
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Apple temporarily shuts all California stores amid COVID-19 outbreak - Reuters UK,"Apple Inc has temporarily shut all of its 53 stores in California amid the ongoing coronavirus outbreak, a spokesman said on Saturday, expanding previously announced closures.",https://uk.reuters.com/article/uk-apple-store-closures-idUKKBN28T0XR,https://static.reuters.com/resources/r/?m=02&d=20201219&t=2&i=1545164616&r=LYNXMPEGBI0GV&w=800,2020-12-19T21:36:00Z,"By Reuters Staff
FILE PHOTO: People sit inside a closed Apple Store during the global outbreak of coronavirus (COVID-19) in Santa Monica, California, U.S., March 16, 2020. REUTERS/Lucy Nicholson
(R… [+428 chars]"
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Apple temporarily shuts all California stores amid COVID-19 outbreak - Reuters,"Apple Inc has temporarily shut all of its 53 stores in California amid the ongoing coronavirus outbreak, a spokesman said on Saturday, expanding previously announced closures.",https://www.reuters.com/article/us-apple-store-closures-idUSKBN28T0XP,https://static.reuters.com/resources/r/?m=02&d=20201219&t=2&i=1545164577&r=LYNXMPEGBI0GW&w=800,2020-12-19T21:36:00Z,"By Reuters Staff
FILE PHOTO: People sit inside a closed Apple Store during the global outbreak of coronavirus (COVID-19) in Santa Monica, California, U.S., March 16, 2020. REUTERS/Lucy Nicholson
(R… [+428 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Taylor Lyles,"The best last-minute digital gifts from Target, Amazon, Walmart, and more","Not every gift has to be extremely complicated. Sometimes, simple is better. Here’s a list of gifts you can buy online and get delivered instantly so you don’t have to wait for them to ship.",https://www.theverge.com/tech/22187618/last-minute-gift-card-best-subscriptions-gaming-music-travel,https://cdn.vox-cdn.com/thumbor/E2jymjGFZMs9Iig2xlaBmxUwJ0o=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/21990384/vpavic_4261_20201026_0197.jpg,2020-12-19T14:00:00Z,"Xbox Game Pass or PlayStation Plus are great gifts for early adopters of next-gen consoles. | Photo by Vjeran Pavic / The Verge

 

 The holiday season has arrived — but don’t panic. If you forgot t… [+6173 chars]"
"{'id': None, 'name': 'CNET'}",Alison DeNisco Rayome,Apple Fitness Plus: How to set up the new workout service - CNET,Here's how to get started with Apple's new subscription exercise app.,https://www.cnet.com/news/how-to-set-up-apple-fitness-plus-new-apple-watch-workout-service/,https://cnet2.cbsistatic.com/img/IT4WF_LEvM5PqyM_j_omZLuo2Es=/1200x630/2020/12/14/f4279bf0-e1e1-4f93-b614-f094d5949886/img-0123.jpg,2020-12-19T08:00:05Z,"Apple's Fitness Plus app is available on the iPhone, iPad and AppleTV. 
Vanessa Hand Orellana/CNET
Apple's new workout service Fitness Plus is now available to help you get your sweat on at home wi… [+3411 chars]"
