source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: US House votes to boost stimulus package payments,"The chamber backs President Trump's call for $2,000 payments but the move could stall in the Senate.",http://www.bbc.co.uk/news/world-us-canada-55471647,https://ichef.bbci.co.uk/news/1024/branded_news/DE88/production/_116286965_gettyimages-1230097453.jpg,2020-12-29T02:37:22.8665351Z,"image copyrightGetty Images
image captionThe pandemic has devastated the US economy and caused a surge in unemployment
The US House of Representatives has voted in favour of increasing the aid sent… [+3075 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,When online meetings didn’t go as planned,"From animal interruptions to catching fire, here's a look back at the year we spent (badly) online.",http://www.bbc.co.uk/news/world-55375825,https://ichef.bbci.co.uk/images/ic/400xn/p092mw4b.jpg,2020-12-29T00:22:24.3846859Z,"2020 was the year everything went online. From virtual meetings and teaching online to socialising on a screen, a lot of us have spent a lot of time logged in.
But with interruptions from pets and c… [+197 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Coronavirus: Spain to keep registry of those who refuse Covid vaccine,"Vaccination will not be mandatory, officials say, and the register will not be made public.",http://www.bbc.co.uk/news/world-europe-55471282,https://ichef.bbci.co.uk/news/1024/branded_news/E144/production/_116286675_064969673.jpg,2020-12-29T00:22:20.541892Z,"image captionThe elderly are among those receiving the first wave of vaccinations in Spain
Spain is to set up a registry of people who refuse to be vaccinated against coronavirus and share it with o… [+2052 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Nashville explosion: Motives still unclear in Nashville 'suicide bomb',Investigators are trying to work out the motive behind the Christmas Day blast that injured three.,http://www.bbc.co.uk/news/world-us-canada-55468759,https://ichef.bbci.co.uk/news/1024/branded_news/11A22/production/_116262227_35c1f445-9ede-4644-94ff-6376ad96a1df.jpg,2020-12-28T22:52:22.2325734Z,"media captionWatch the aftermath of the explosion in Nashville
US investigators are trying to find out why a 63-year-old computer consultant detonated a bomb that killed himself and injured three ot… [+2705 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Joe Biden: 'Enormous damage' to US security agencies by Trump,The president-elect says his team is not getting the information it needs on national security.,http://www.bbc.co.uk/news/world-us-canada-55470625,https://ichef.bbci.co.uk/news/1024/branded_news/5F94/production/_116286442_064981892-1.jpg,2020-12-28T22:22:22.5033425Z,"Agencies critical to US security have suffered ""enormous damage"" at the hands of the Trump administration, US President-elect Joe Biden has said.
Mr Biden said his team was not getting the informati… [+1946 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: South Africa's Ramaphosa announces new restrictions as cases soar,"The measures include a ban on indoor and outdoor gatherings, and a night curfew, until 15 January.",http://www.bbc.co.uk/news/world-africa-55468104,https://ichef.bbci.co.uk/news/1024/branded_news/D4EC/production/_116280545_mediaitem116280544.jpg,2020-12-28T19:22:21.2057413Z,"image captionMr Ramaphosa said the country had let its guard down
President Cyril Ramaphosa has announced new tougher coronavirus restrictions, a day after South Africa recorded more than one millio… [+2585 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Hilaria Baldwin denies faking her Spanish heritage,The wife of Alec Baldwin has been accused of misleading the public over her Spanish heritage.,http://www.bbc.co.uk/news/world-us-canada-55468754,https://ichef.bbci.co.uk/news/1024/branded_news/14922/production/_116285248_mediaitem116285244.jpg,2020-12-28T17:22:21.0407189Z,"image copyrightGetty Images
image captionThe TV host has been accused of faking a Spanish accent
Hilaria Baldwin, TV host and wife of actor Alec Baldwin, has responded to accusations she misled the… [+1797 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid-19: Concern at 'unprecedented' infection level in England,"The UK reports a further 41,385 cases as hospitals struggle to cope with rising patient numbers.",http://www.bbc.co.uk/news/uk-55462701,https://ichef.bbci.co.uk/news/1024/branded_news/7889/production/_116275803_mediaitem116275477.jpg,2020-12-28T17:07:19.8638005Z,"England's ""very high"" Covid infection level is a ""growing concern"" as the NHS struggles to cope with rising patient numbers, a health official has said.
On Monday, a further 41,385 Covid cases and 3… [+5504 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Loujain al-Hathloul: Saudi woman activist jailed for five years,"Loujain al-Hathloul, 31, was prominent in the campaign to win the right for Saudi women to drive.",http://www.bbc.co.uk/news/world-middle-east-55467414,https://ichef.bbci.co.uk/news/1024/branded_news/113E0/production/_115242607_mediaitem115237706.jpg,2020-12-28T13:07:20.5474276Z,"image captionLoujain al-Hathloul was detained in 2018
A prominent Saudi female activist, who campaigned for women's right to drive, has been sentenced to more than five years in prison. 
Loujain al… [+2032 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Brexit: Britons warned to prepare for 'some disruption',"Ministers warn of ""practical and procedural changes"" when the Brexit transition period ends this week.",http://www.bbc.co.uk/news/uk-55463506,https://ichef.bbci.co.uk/news/1024/branded_news/EDB9/production/_116275806_mediaitem116275805.jpg,2020-12-28T07:52:23.5254222Z,"Businesses and travellers should get ready for ""substantial"" change from New Year's Eve, when the UK leaves the EU, the government has said.
Cabinet Office Minister Michael Gove said there would be … [+3900 chars]"
"{'id': 'engadget', 'name': 'Engadget'}",Valentina Palladino,This week's best deals: $60 off the Apple Watch SE and more,"We’re officially one week away from Christmas, even though it may not feel like it, which means these are truly the final days to snag last-minute holiday gifts. Believe it or not, there are still sales you can grab and some of those gadgets could still arriv…",https://www.engadget.com/weekly-deals-apple-watch-se-nvidia-shield-tv-pro-razer-blade-15-base-laptop-170002472.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-10%2Ff278cb90-1aa9-11eb-9dfe-17860b6d0827&client=amp-blogside-v2&signature=1129d8c15e16d5a3af2ff301122cb2c530b1cdc0,2020-12-18T17:00:02Z,"Buy the Apple Watch SE (44mm) at Amazon - $250
NVIDIA Shield TV Pro
The NVIDIA Shield TV Pro is on sale for $180, which is $20 off its normal price and a rare sale for the Android TV system. But it… [+7530 chars]"
"{'id': 'engadget', 'name': 'Engadget'}",StackCommerce,Eight stocking stuffers on sale for $40 or less,"It can be a challenge to find stocking stuffers for members of your family. This type of gift, which some people open on Christmas Eve and others on Christmas Day, might also be a last-minute purchase for most people since stocking stuffers typically don't pl…",https://www.engadget.com/eight-stocking-stuffers-on-sale-185543534.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-12%2F7442b2a0-3cfe-11eb-b637-ed74e2e968b5&client=amp-blogside-v2&signature=3a3b9437629b4a68e7025b43b2824695d636a702,2020-12-18T18:55:43Z,"MSRP: $29 | Discount: 66% | Sale price: $10
This three-in-one charging cable is the ultimate cable solution for all your devices. It comes with USB-C, MicroUSB and Lightning connections so that you … [+4527 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Joanna Nelius,Apparently Microsoft Wants to Design Its Own ARM Chips,"Seems like Microsoft isn’t going to sit back and let Apple take all the glory with its new M1 processor. According to The Verge (via Bloomberg News), Microsoft is reportedly designing its own ARM processor for its Azure cloud servers and possibly even a futur…",https://gizmodo.com/apparently-microsoft-wants-to-design-its-own-arm-chips-1845915659,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/oly3idvpwcdzvbixuvfv.jpg",2020-12-18T23:10:00Z,"Seems like Microsoft isnt going to sit back and let Apple take all the glory with its new M1 processor. According to The Verge (via Bloomberg News), Microsoft is reportedly designing its own ARM proc… [+1726 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Stan Schroeder,"Xiaomi's Apple Watch clone costs $61, has 9-day battery life","Xiaomi's new smartwatch won't win any originality contests — it's a dead-ringer for Apple Watch. But it beats the Apple Watch in two key regards, and by a massive margin. 
The Xiaomi Mi Watch Lite, as it's called, is a rectangular smartwatch with a 1.4-inch L…",https://mashable.com/article/xiaomi-mi-watch-lite/,https://mondrian.mashable.com/2020%252F12%252F18%252F27%252Fc6507df083284c91a761e7fa5b6b888d.ca704.png%252F1200x630.png?signature=yLn6ju_61zWAYaK4XCICchGFXs0=,2020-12-18T14:15:30Z,"Xiaomi's new smartwatch won't win any originality contests it's a dead-ringer for Apple Watch. But it beats the Apple Watch in two key regards, and by a massive margin. 
The Xiaomi Mi Watch Lite, as… [+1265 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Caitlin McGarry,How to Turn Off 5G to Save Your iPhone 12 Battery,"The entire iPhone 12 lineup is capable of connecting to lightning fast 5G networks, which is great news for when those networks are actually lightning fast. But tapping into those gigabit speeds requires a sacrifice: battery life. But Apple baked a Smart Data…",https://gizmodo.com/how-to-turn-off-5g-to-save-your-iphone-12-battery-1845916429,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ivx4gh6zdwelumx8ngiv.jpg",2020-12-18T23:20:00Z,"The entire iPhone 12 lineup is capable of connecting to lightning fast 5G networks, which is great news for when those networks are actually lightning fast. But tapping into those gigabit speeds requ… [+864 chars]"
"{'id': None, 'name': 'MacRumors'}",Tim Hardwick,TikTok Promotion Offers Users Four Free Months of Apple Music,"Apple is offering TikTok users a four-month free trial of Apple Music to newcomers of the streaming service.





First spotted by ApplePost, the deal is available to new subscribers through the short-form video sharing app, and offers an additional month on …",https://www.macrumors.com/2020/12/18/tiktok-promotion-free-apple-music-trial/,https://images.macrumors.com/t/ThNdAhcv28rWe2BW593mNKQlrF8=/1600x/https://images.macrumors.com/article-new/2020/12/tiktok-apple-music-trial.jpg,2020-12-18T11:36:39Z,"Apple is offering TikTok users a four-month free trial of Apple Music to newcomers of the streaming service.
First spotted by ApplePost, the deal is available to new subscribers through the short-fo… [+749 chars]"
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Apple shuts some California stores as coronavirus cases spike - Reuters,"Apple Inc said on Friday it was temporarily shutting some stores in California following a surge in COVID-19 cases in the state, sending the iPhone maker's shares down 1.3% in trading after the bell.",https://www.reuters.com/article/us-apple-store-closures-idUSKBN28S33N,https://static.reuters.com/resources/r/?m=02&d=20201218&t=2&i=1545097487&r=LYNXMPEGBH1PL&w=800,2020-12-18T22:45:00Z,"By Reuters Staff
FILE PHOTO: The Apple logo is shown atop an Apple store at a shopping mall in La Jolla, California, U.S., December 17, 2019, 2019. REUTERS/Mike Blake
(Reuters) - Apple Inc said on … [+996 chars]"
"{'id': None, 'name': 'YouTube'}",,Facebook vs Apple over privacy policy: Vicious public battle explained - Business Standard,"<ol><li>Facebook vs Apple over privacy policy: Vicious public battle explained  Business Standard
</li><li>Apple Fires Back After Facebook's Criticism of New Privacy Rules  iPhone in Canada
</li><li>Tim Cook responds to Facebook's attack ads with tweet abou…",https://www.youtube.com/watch?v=3TwwVq6AYBQ,https://i.ytimg.com/vi/3TwwVq6AYBQ/maxresdefault.jpg,2020-12-18T15:13:21Z,
"{'id': None, 'name': 'MacRumors'}",Tim Hardwick,Apple Stops Offering Standalone Update Packages in macOS Big Sur,"Apple appears to have ended its tradition of making standalone updater versions of macOS available to all users, beginning with macOS Big Sur.





Apple offers its macOS updates through the Software Update pane in System Preferences, but it usually also lets…",https://www.macrumors.com/2020/12/18/apple-stops-offering-standalone-updates-macos/,https://images.macrumors.com/t/oJyg1hv2KGEB3bnQ-aFOZ4Bk6AE=/1922x/https://images.macrumors.com/article-new/2020/06/macos_big_sur_roundup_header.jpg,2020-12-18T12:30:15Z,"Apple appears to have ended its tradition of making standalone updater versions of macOS available to all users, beginning with macOS Big Sur.
Apple offers its macOS updates through the Software Upd… [+1621 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Victoria Song,"RIP Android Things, the Smart Home Platform We All Forgot Existed","While Google is infamous for killing off its creations, there’s a good chance you’ve never even heard of Android Things—a platform Google launched in 2018 for the Internet of Things. And although Google said last year it was shifting Android Things away from …",https://gizmodo.com/rip-android-things-the-smart-home-platform-we-all-forg-1845910972,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/f8kvorbsijrbdh92oezv.jpg",2020-12-18T16:35:00Z,"While Google is infamous for killing off its creations, theres a good chance youve never even heard of Android Thingsa platform Google launched in 2018 for the Internet of Things. And although Google… [+3199 chars]"
"{'id': None, 'name': 'New York Times'}",Lindsay Zoladz,Mariah! Dolly! Carrie! 2020 Can’t Quarantine This Cheer,"Pop stars try to pull off a Christmas spectacular in tough times, with three sparkly but heartfelt specials now on streaming services.",https://www.nytimes.com/2020/12/18/arts/television/mariah-dolly-carrie-holiday-shows.html,https://static01.nyt.com/images/2020/12/15/arts/18HOLIDAY-DIVAS-COMBO/18HOLIDAY-DIVAS-COMBO-facebookJumbo.jpg,2020-12-18T14:00:09Z,"An offering not as worried about time-stamping itself is Mariah Careys Magical Christmas Special, a star-studded entry from Apple TV+ in the Yuletide streaming wars. Its certainly the most plot-heavy… [+1579 chars]"
"{'id': None, 'name': 'MacRumors'}",Juli Clover,Apple Closing Los Angeles Stores as Virus Cases Rise in Southern California,"Apple is temporarily closing its retail locations in the Los Angeles area due to a rising number of COVID-19 cases in Southern California, reports Bloomberg.





This is the first time in several months that stores in Los Angeles have been closed. Apple has …",https://www.macrumors.com/2020/12/18/apple-stores-closing-los-angeles/,https://images.macrumors.com/t/UMoK16xZRPnxcxZPOTRPf1LXMB8=/1600x/https://images.macrumors.com/article-new/2020/12/apple-the-grove-store.jpg,2020-12-18T22:33:51Z,"Apple is temporarily closing its retail locations in the Los Angeles area due to a rising number of COVID-19 cases in Southern California, reports Bloomberg.
This is the first time in several months… [+1669 chars]"
