source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: US House votes to boost stimulus package payments,"The chamber backs President Trump's call for $2,000 payments but the move could stall in the Senate.",http://www.bbc.co.uk/news/world-us-canada-55471647,https://ichef.bbci.co.uk/news/1024/branded_news/DE88/production/_116286965_gettyimages-1230097453.jpg,2020-12-29T02:37:22.8665351Z,"image copyrightGetty Images
image captionThe pandemic has devastated the US economy and caused a surge in unemployment
The US House of Representatives has voted in favour of increasing the aid sent… [+3075 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,When online meetings didn’t go as planned,"From animal interruptions to catching fire, here's a look back at the year we spent (badly) online.",http://www.bbc.co.uk/news/world-55375825,https://ichef.bbci.co.uk/images/ic/400xn/p092mw4b.jpg,2020-12-29T00:22:24.3846859Z,"2020 was the year everything went online. From virtual meetings and teaching online to socialising on a screen, a lot of us have spent a lot of time logged in.
But with interruptions from pets and c… [+197 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Coronavirus: Spain to keep registry of those who refuse Covid vaccine,"Vaccination will not be mandatory, officials say, and the register will not be made public.",http://www.bbc.co.uk/news/world-europe-55471282,https://ichef.bbci.co.uk/news/1024/branded_news/E144/production/_116286675_064969673.jpg,2020-12-29T00:22:20.541892Z,"image captionThe elderly are among those receiving the first wave of vaccinations in Spain
Spain is to set up a registry of people who refuse to be vaccinated against coronavirus and share it with o… [+2052 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Nashville explosion: Motives still unclear in Nashville 'suicide bomb',Investigators are trying to work out the motive behind the Christmas Day blast that injured three.,http://www.bbc.co.uk/news/world-us-canada-55468759,https://ichef.bbci.co.uk/news/1024/branded_news/11A22/production/_116262227_35c1f445-9ede-4644-94ff-6376ad96a1df.jpg,2020-12-28T22:52:22.2325734Z,"media captionWatch the aftermath of the explosion in Nashville
US investigators are trying to find out why a 63-year-old computer consultant detonated a bomb that killed himself and injured three ot… [+2705 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Joe Biden: 'Enormous damage' to US security agencies by Trump,The president-elect says his team is not getting the information it needs on national security.,http://www.bbc.co.uk/news/world-us-canada-55470625,https://ichef.bbci.co.uk/news/1024/branded_news/5F94/production/_116286442_064981892-1.jpg,2020-12-28T22:22:22.5033425Z,"Agencies critical to US security have suffered ""enormous damage"" at the hands of the Trump administration, US President-elect Joe Biden has said.
Mr Biden said his team was not getting the informati… [+1946 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid: South Africa's Ramaphosa announces new restrictions as cases soar,"The measures include a ban on indoor and outdoor gatherings, and a night curfew, until 15 January.",http://www.bbc.co.uk/news/world-africa-55468104,https://ichef.bbci.co.uk/news/1024/branded_news/D4EC/production/_116280545_mediaitem116280544.jpg,2020-12-28T19:22:21.2057413Z,"image captionMr Ramaphosa said the country had let its guard down
President Cyril Ramaphosa has announced new tougher coronavirus restrictions, a day after South Africa recorded more than one millio… [+2585 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Hilaria Baldwin denies faking her Spanish heritage,The wife of Alec Baldwin has been accused of misleading the public over her Spanish heritage.,http://www.bbc.co.uk/news/world-us-canada-55468754,https://ichef.bbci.co.uk/news/1024/branded_news/14922/production/_116285248_mediaitem116285244.jpg,2020-12-28T17:22:21.0407189Z,"image copyrightGetty Images
image captionThe TV host has been accused of faking a Spanish accent
Hilaria Baldwin, TV host and wife of actor Alec Baldwin, has responded to accusations she misled the… [+1797 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Covid-19: Concern at 'unprecedented' infection level in England,"The UK reports a further 41,385 cases as hospitals struggle to cope with rising patient numbers.",http://www.bbc.co.uk/news/uk-55462701,https://ichef.bbci.co.uk/news/1024/branded_news/7889/production/_116275803_mediaitem116275477.jpg,2020-12-28T17:07:19.8638005Z,"England's ""very high"" Covid infection level is a ""growing concern"" as the NHS struggles to cope with rising patient numbers, a health official has said.
On Monday, a further 41,385 Covid cases and 3… [+5504 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Loujain al-Hathloul: Saudi woman activist jailed for five years,"Loujain al-Hathloul, 31, was prominent in the campaign to win the right for Saudi women to drive.",http://www.bbc.co.uk/news/world-middle-east-55467414,https://ichef.bbci.co.uk/news/1024/branded_news/113E0/production/_115242607_mediaitem115237706.jpg,2020-12-28T13:07:20.5474276Z,"image captionLoujain al-Hathloul was detained in 2018
A prominent Saudi female activist, who campaigned for women's right to drive, has been sentenced to more than five years in prison. 
Loujain al… [+2032 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",BBC News,Brexit: Britons warned to prepare for 'some disruption',"Ministers warn of ""practical and procedural changes"" when the Brexit transition period ends this week.",http://www.bbc.co.uk/news/uk-55463506,https://ichef.bbci.co.uk/news/1024/branded_news/EDB9/production/_116275806_mediaitem116275805.jpg,2020-12-28T07:52:23.5254222Z,"Businesses and travellers should get ready for ""substantial"" change from New Year's Eve, when the UK leaves the EU, the government has said.
Cabinet Office Minister Michael Gove said there would be … [+3900 chars]"
"{'id': 'engadget', 'name': 'Engadget'}",Igor Bonifacic,Elon Musk says he tried to sell Tesla to Apple and Tim Cook snubbed him,"Elon Musk apparently once tried to sell Tesla to Apple. Replying to a tweet about yesterday’s Reuters report on the Apple’s electric car ambitions, Musk said, “During the darkest days of the Model 3 program, I reached out to Tim Cook to discuss the possibilit…",https://www.engadget.com/elon-musk-apple-tesla-221149687.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-12%2F1ded0940-449d-11eb-8fff-12482014dba0&client=amp-blogside-v2&signature=131b82ecefe7aaf2b5f0ae670bce97114a5c4384,2020-12-22T22:11:49Z,"“Strange, if true,” Musk said of those suggestions. He went on to add Tesla already uses iron-phosphate batteries in vehicles it produces at its Shanghai Gigafactory, and said a monocell design is “e… [+597 chars]"
"{'id': 'wired', 'name': 'Wired'}",Lauren Goode,Apple Fitness+ Is Either Right on Time or Much Too Late,Apple invites users to sweat along with prerecorded classes on its new streaming workout platform—but the experience lags behind the competition.,https://www.wired.com/review/apple-fitness-plus/,"https://media.wired.com/photos/5fe1153cabb4491ff39c28a4/191:100/w_1280,c_limit/Gear-Apple-Fitness-1219169702.jpg",2020-12-22T12:00:00Z,"Welcome to Apple World. Thats what launching an Apple Fitness+ workout is like, stepping into a world of wood-paneled walls, charming accents, and Apple Watches. You can almost smell the eucalyptus t… [+3702 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Leah Stodart,Both Apple Pencils are on sale for less than $100,"Save up to $30: Both Apple Pencils are on sale at Amazon as of Dec. 22 — get the first-gen model for $79.99 or the second-gen model for $99.

Everyone understands the basic concept of a stylus. But the Apple Pencil is more than a flimsy wand with a rubber bum…",https://mashable.com/shopping/dec-22-apple-pencil/,https://mondrian.mashable.com/2020%252F12%252F22%252Fc6%252Ff6a40438974a4933a12a3b7dfa7717c2.5a662.png%252F1200x630.png?signature=P9gksy7QkicTiOhY0kRmRoh6jU0=,2020-12-22T15:57:58Z,"Save up to $30: Both Apple Pencils are on sale at Amazon as of Dec. 22 get the first-gen model for $79.99 or the second-gen model for $99.
Everyone understands the basic concept of a stylus. But the… [+2243 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Taylor Lyles,"The best apps, games, and entertainment for all of your new tech in 2020","Here at The Verge, we want to help, so we’ve put together lists of our favorite apps, games, and shows from Apple, Google, Microsoft, Amazon, and a plethora of companies.",https://www.theverge.com/22167508/best-2020-new-apps-games-entertainment-tv-top-list-recommendations,https://cdn.vox-cdn.com/thumbor/bpIpPErCJkAUcgwIetOguxfEufY=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22175947/acastro_201216_4345_bestOfApps_0001.jpg,2020-12-22T15:09:38Z,"Photo by Alex Castro / The Verge

 

 Our favorites for all your new devices While it’s really great to get a new tech device — a phone, a laptop, a game console, a Kindle, or a TV — as a gift, it’s… [+633 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Brianna Provenzano,Apple Reportedly Aiming to Launch Self-Driving Cars By 2024,"The iPhone maker is reportedly targeting 2024 as a potential goal date to enter the fray with a self-driving passenger vehicle, one which will potentially be powered by Apple’s proprietary battery technology.",https://gizmodo.com/apple-reportedly-aiming-to-launch-self-driving-cars-by-1845930693,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/kmvqb3zgjbxntrf65f1s.jpg",2020-12-22T00:09:00Z,"Apple Inc. is joining the self-driving car game.
According to Reuters, the iPhone maker is targeting 2024 as a potential goal date to enter the fray with a self-driving passenger vehicle, one which … [+1808 chars]"
"{'id': None, 'name': 'MacRumors'}",Juli Clover,Elon Musk Claims He Once Reached Out to Tim Cook About Tesla Purchase But Was Refused Meeting,"Tesla CEO Elon Musk today said on Twitter that he once reached out to Apple CEO Tim Cook about the possibility of Apple acquiring Tesla, but Cook ""refused to take the meeting."" Musk says that he attempted to contact Apple during the ""darkest days of the Model…",https://www.macrumors.com/2020/12/22/elon-musk-tim-cook-tesla-meeting/,https://images.macrumors.com/t/oFuIh-XQvuKXkTZPiUM7XwIzU7E=/1600x/https://images.macrumors.com/article-new/2020/02/tesla.jpg,2020-12-22T21:25:06Z,"Tesla CEO Elon Musk today said on Twitter that he once reached out to Apple CEO Tim Cook about the possibility of Apple acquiring Tesla, but Cook ""refused to take the meeting."" Musk says that he atte… [+1932 chars]"
"{'id': 'engadget', 'name': 'Engadget'}",Engadget,The Morning After: Apple's Project Titan car could start production in 2024,"As the year comes to a close, some of Engadget’s writers have highlighted the games they enjoyed the most in 2020. With new and old games on the list, it’s probably not surprising to see picks like Animal Crossing: New Horizons, Ghosts of Tsushima, Hades and …",https://www.engadget.com/apple-car-tma-135548235.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2F189495b0-e1c1-11ea-8a30-a3fe6954f0ee&client=amp-blogside-v2&signature=2680fc290632ca5031a81d47f2035c57fc395568,2020-12-22T13:55:48Z,"As the year comes to a close, some of Engadget’s writers have highlighted the games they enjoyed the most in 2020. With new and old games on the list, it’s probably not surprising to see picks like A… [+1998 chars]"
"{'id': 'engadget', 'name': 'Engadget'}",Steve Dent,Beats' Solo Pro headphones are half price at Best Buy,"Beats Solo Pro wireless headphones are ideal if you’re looking for powerful bass but also want convenient Apple features like hands-free Siri. They’re not cheap at all with a regular price of $300, but Best Buy is now selling them in the “More Matte” color co…",https://www.engadget.com/beats-solo-pro-headphones-are-at-an-alltime-low-at-best-buy-130558861.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-12%2Ff2d75f20-4452-11eb-bedc-d41a57208aa6&client=amp-blogside-v2&signature=52c7840e8cb04f084596ed7b12efd8112f47e73a,2020-12-22T13:05:58Z,"While Beats headphones have a rep for one-dimensional, bass-centric sound, the Solo Pro cans bust that stereotype. They do a good job with mids and highs too, offering a more well-rounded sound while… [+737 chars]"
"{'id': 'the-globe-and-mail', 'name': 'The Globe And Mail'}","Stephen Nellis, Norihiko Shirouzu, Paul Lienert","Apple targets self-driving car production by 2024 with breakthrough battery technology, sources say - The Globe and Mail","<ol><li>Apple targets self-driving car production by 2024 with breakthrough battery technology, sources say  The Globe and Mail
</li><li>Apple is targeting 2024 to begin car production: Report  CNBC Television
</li><li>Sources Now Say Apple Car Is For 2024:…",https://www.theglobeandmail.com/business/international-business/us-business/article-apple-targets-self-driving-car-production-by-2024-with-breakthrough/,https://www.theglobeandmail.com/resizer/nHH7nz4XHa3akoYbsXvsP44SE0g=/1200x0/filters:quality(80)/cloudfront-us-east-1.images.arcpublishing.com/tgam/PCNQCCIIDZFH5OBWV3LXVSDKLY.jpg,2020-12-22T12:34:02Z,"Apple Inc is moving forward with self-driving car technology and is targeting 2024 to produce a passenger vehicle that could include its own breakthrough battery technology, people familiar with the … [+5353 chars]"
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,Musk tweets he reached out to Apple's Tim Cook for acquiring Tesla - Reuters,"Silicon Valley billionaire Elon Musk said on Tuesday he reached out to Apple Inc's Tim Cook ""during the darkest days of the Model 3 program"" to discuss the possibility of Apple acquiring Tesla Inc for ""1/10th of our current value.""",https://www.reuters.com/article/us-apple-autos-elon-musk-idUSKBN28W2KF,https://static.reuters.com/resources/r/?m=02&d=20201222&t=2&i=1545485820&r=LYNXMPEGBL1I8&w=800,2020-12-22T21:28:00Z,"By Reuters Staff
(Reuters) - Silicon Valley billionaire Elon Musk said on Tuesday he reached out to Apple Incs Tim Cook during the darkest days of the Model 3 program to discuss the possibility of A… [+509 chars]"
"{'id': 'reuters', 'name': 'Reuters'}","Ambar Warrick, Devik Jain",US STOCKS-Nasdaq supported by Apple; Dow and S&P fall on weak economic data - Reuters UK,US STOCKS-Nasdaq supported by Apple; Dow and S&P fall on weak economic data  Reuters UK,https://uk.reuters.com/article/usa-stocks-idUKL4N2J22WR,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2020-12-22T15:55:00Z,"(For a live blog on the U.S. stock market, click or type LIVE/ in a news window.)
* Apple gains on electric car production plan
* Peloton jumps on $420 mln deal to buy peer Precor
* Indexes: Dow d… [+2710 chars]"
